head_label,head_tag,depth,iter,spawn_http_ms
L0,demo-pyt,0,0,126
L0,demo-pyt,0,1,59
L0,demo-pyt,0,2,59
L0,demo-pyt,0,3,60
L0,demo-pyt,0,4,59
L0,demo-pyt,0,5,60
L0,demo-pyt,0,6,59
L0,demo-pyt,0,7,59
L0,demo-pyt,0,8,59
L0,demo-pyt,0,9,59
L1,chain-bench-l1-step1,1,0,769
L1,chain-bench-l1-step1,1,1,751
L1,chain-bench-l1-step1,1,2,759
L1,chain-bench-l1-step1,1,3,751
L1,chain-bench-l1-step1,1,4,750
L1,chain-bench-l1-step1,1,5,749
L1,chain-bench-l1-step1,1,6,751
L1,chain-bench-l1-step1,1,7,748
L1,chain-bench-l1-step1,1,8,756
L1,chain-bench-l1-step1,1,9,761
L2,chain-bench-l2-step2,2,0,1194
L2,chain-bench-l2-step2,2,1,1179
L2,chain-bench-l2-step2,2,2,1191
L2,chain-bench-l2-step2,2,3,1301
L2,chain-bench-l2-step2,2,4,1266
L2,chain-bench-l2-step2,2,5,1239
L2,chain-bench-l2-step2,2,6,1248
L2,chain-bench-l2-step2,2,7,1202
L2,chain-bench-l2-step2,2,8,1219
L2,chain-bench-l2-step2,2,9,1224
L3,chain-bench-l3-step3,3,0,1596
L3,chain-bench-l3-step3,3,1,1638
L3,chain-bench-l3-step3,3,2,1720
L3,chain-bench-l3-step3,3,3,1676
L3,chain-bench-l3-step3,3,4,1662
L3,chain-bench-l3-step3,3,5,1685
L3,chain-bench-l3-step3,3,6,1676
L3,chain-bench-l3-step3,3,7,1668
L3,chain-bench-l3-step3,3,8,1666
L3,chain-bench-l3-step3,3,9,1669
Flat,chain-bench-flat,1,0,690
Flat,chain-bench-flat,1,1,741
Flat,chain-bench-flat,1,2,744
Flat,chain-bench-flat,1,3,745
Flat,chain-bench-flat,1,4,755
Flat,chain-bench-flat,1,5,751
Flat,chain-bench-flat,1,6,751
Flat,chain-bench-flat,1,7,754
Flat,chain-bench-flat,1,8,745
Flat,chain-bench-flat,1,9,747
